"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3980","50","168","3.65043497","3.174E-5","0.27393996","0.0","3","6","false","Q13255","152.66666667","3","0","0","0.70550723","false","0","Q13255","71090","0.34313725"
"3981","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P42338","75.0","1","0","0","0.65689464","false","0","P42338","0","0.0"
"3982","70","323","3.40356461","4.8644E-4","0.29380961","0.03030303","12","6","false","P01111","89.0","12","0","0","0.73293727","false","0","P01111","913620","0.09751381"
"3983","60","228","3.6156376","8.47E-5","0.27657639","0.0","3","6","false","Q9BZG8","240.66666667","3","0","0","0.7093736","false","0","Q9BZG8","157718","0.34336199"
"3984","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P41594","75.0","1","0","0","0.65689464","false","0","P41594","0","0.0"
"3985","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P54753","75.0","1","0","0","0.65689464","false","0","P54753","0","0.0"
"3986","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P54762","75.0","1","0","0","0.65689464","false","0","P54762","0","0.0"
"3987","45","139","3.64640356","5.144E-5","0.27424282","0.0","4","6","false","P16284","110.0","4","0","0","0.70595516","false","0","P16284","82116","0.2601432"
"3988","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","Q13613","75.0","1","0","0","0.65689464","false","0","Q13613","0","0.0"
"3989","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P54760","75.0","1","0","0","0.65689464","false","0","P54760","0","0.0"
"3990","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","Q96T17","75.0","1","0","0","0.65689464","false","0","Q96T17","0","0.0"
"3991","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","Q53EQ6","75.0","1","0","0","0.65689464","false","0","Q53EQ6","0","0.0"
"3992","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","Q7Z736","75.0","1","0","0","0.65689464","false","0","Q7Z736","0","0.0"
"3993","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P54764","75.0","1","0","0","0.65689464","false","0","P54764","0","0.0"
"3994","30","97","3.92053893","1.786E-5","0.25506697","0.0","2","7","false","O95248","120.0","2","0","0","0.67549567","false","0","O95248","20244","0.5021097"
"3995","30","92","3.81423722","1.571E-5","0.26217562","0.0","2","6","false","Q8TCG2","128.5","2","0","0","0.68730698","false","0","Q8TCG2","26678","0.50796813"
"3996","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","Q8IWF6","75.0","1","0","0","0.65689464","false","0","Q8IWF6","0","0.0"
"3997","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P01588","75.0","1","0","0","0.65689464","false","0","P01588","0","0.0"
"3998","10","38","4.08794823","0.0","0.24462149","0.0","1","7","false","P78509","75.0","1","0","0","0.65689464","false","0","P78509","0","0.0"
"3999","45","145","3.47326544","2.0661E-4","0.2879135","0.01818182","11","6","false","P48163","25.72727273","11","0","0","0.72519273","false","0","P48163","269746","0.10084652"
"4000","30","95","3.80712922","2.88E-5","0.26266511","0.0","2","6","false","Q9UQ16","121.0","2","0","0","0.68809675","false","0","Q9UQ16","19924","0.5"
"4001","20","61","3.90547422","6.76E-6","0.25605085","0.0","2","6","false","Q9P265","74.5","2","0","0","0.67716953","false","0","Q9P265","12460","0.50689655"
"4002","65","275","3.2596011","6.4662E-4","0.306786","0.02205882","17","6","false","Q12923","31.47058824","17","0","0","0.74893321","false","0","Q12923","705102","0.06867122"
"4003","20","58","3.97103756","1.083E-5","0.25182335","0.0","2","7","false","P42336","70.5","2","0","0","0.66988472","false","0","P42336","10186","0.50362319"
