Human Herpes
Q9NVP2 Herpes_target
P27361 Herpes_target
P46063 Herpes_target
Q99470 Herpes_target
P21912 Herpes_target
P54132 Herpes_target
Q8IUQ4 Herpes_target
P58107 Herpes_target
Q9Y6K9 Herpes_target
Q96DI7 Herpes_target
P13667 Herpes_target
Q15397 Herpes_target
A0A087WWF6 Herpes_target
A6NFI3 Herpes_target
E7EPP6 Herpes_target
O15131 Herpes_target
O15381 Herpes_target
O43149 Herpes_target
O43237 Herpes_target
O43255 Herpes_target
O60613 Herpes_target
O75127 Herpes_target
O75175 Herpes_target
O75683 Herpes_target
O75818 Herpes_target
O94808 Herpes_target
O94898 Herpes_target
O95302 Herpes_target
O95478 Herpes_target
O95900 Herpes_target
P06280 Herpes_target
P07478 Herpes_target
P0C0P6 Herpes_target
P0DP74 Herpes_target
P12955 Herpes_target
P20073 Herpes_target
P22392 Herpes_target
P23921 Herpes_target
P30566 Herpes_target
P33316 Herpes_target
P36969 Herpes_target
P42229 Herpes_target
P50897 Herpes_target
P51812 Herpes_target
P56277 Herpes_target
P56537 Herpes_target
P56545 Herpes_target
P57772 Herpes_target
P58546 Herpes_target
P79522 Herpes_target
P82932 Herpes_target
P83111 Herpes_target
P85037 Herpes_target
P98173 Herpes_target
Q00534 Herpes_target
Q01167 Herpes_target
Q01433 Herpes_target
Q02952 Herpes_target
Q04721 Herpes_target
Q05469 Herpes_target
Q06124 Herpes_target
Q13363 Herpes_target
Q13370 Herpes_target
Q14517 Herpes_target
Q14694 Herpes_target
Q15014 Herpes_target
Q15349 Herpes_target
Q15418 Herpes_target
Q2NKX8 Herpes_target
Q5QP82 Herpes_target
Q5T447 Herpes_target
Q6GYQ0 Herpes_target
Q709F0 Herpes_target
Q7L0Y3 Herpes_target
Q7L1Q6 Herpes_target
Q7L7X3 Herpes_target
Q7Z478 Herpes_target
Q86T65 Herpes_target
Q86U28 Herpes_target
Q8IX15 Herpes_target
Q8IYB3 Herpes_target
Q8IZ52 Herpes_target
Q8N3Y7 Herpes_target
Q8NC60 Herpes_target
Q8WWI1 Herpes_target
Q8WY36 Herpes_target
Q96C12 Herpes_target
Q96DE5 Herpes_target
Q96EL2 Herpes_target
Q96FX7 Herpes_target
Q96MW5 Herpes_target
Q96PD5 Herpes_target
Q96PZ0 Herpes_target
Q99805 Herpes_target
Q9BQ48 Herpes_target
Q9BTE7 Herpes_target
Q9BVX2 Herpes_target
Q9BXF6 Herpes_target
Q9BYC8 Herpes_target
Q9C0C2 Herpes_target
Q9H1A3 Herpes_target
Q9H2K8 Herpes_target
Q9H4P4 Herpes_target
Q9H7B2 Herpes_target
Q9H8M7 Herpes_target
Q9H8Y5 Herpes_target
Q9HA64 Herpes_target
Q9NRL2 Herpes_target
Q9NVS2 Herpes_target
Q9NYU1 Herpes_target
Q9NZC7 Herpes_target
Q9NZL9 Herpes_target
Q9P258 Herpes_target
Q9UDY2 Herpes_target
Q9UH99 Herpes_target
Q9UIL1 Herpes_target
Q9UIV1 Herpes_target
Q9UJ70 Herpes_target
Q9ULM6 Herpes_target
Q9UPP1 Herpes_target
Q9UPY6 Herpes_target
Q9Y291 Herpes_target
Q9Y2Z4 Herpes_target
Q06330 Herpes_target
P19838 Herpes_target
P16070 Herpes_target
P16070 Herpes_target
P16070 Herpes_target
P16070 Herpes_target
P16070 Herpes_target
P16070 Herpes_target
P16070 Herpes_target
Q07955 Herpes_target
Q07955 Herpes_target
P14859 Herpes_target
Q07812 Herpes_target
P35232 Herpes_target
P62988 Herpes_target
P53618 Herpes_target
P53618 Herpes_target
P02786 Herpes_target
P02786 Herpes_target
P02786 Herpes_target
P02786 Herpes_target
O43318 Herpes_target
Q15750 Herpes_target
Q9NYJ8 Herpes_target
O14920 Herpes_target
P28074 Herpes_target
Q13576 Herpes_target
Q93008 Herpes_target
Q93008 Herpes_target
Q93008 Herpes_target
P51665 Herpes_target
P51665 Herpes_target
P07900 Herpes_target
P07900 Herpes_target
P35606 Herpes_target
O60684 Herpes_target
Q9UER7 Herpes_target
Q15628 Herpes_target
Q93009 Herpes_target
P63279 Herpes_target
P63279 Herpes_target
P63279 Herpes_target
O43521 Herpes_target
O95477 Herpes_target
P52294 Herpes_target
Q8WUM4 Herpes_target
Q92973 Herpes_target
Q92973 Herpes_target
P52272 Herpes_target
P30153 Herpes_target
P30153 Herpes_target
P30153 Herpes_target
P02751 Herpes_target
P02751 Herpes_target
P02751 Herpes_target
P02751 Herpes_target
P02751 Herpes_target
P02751 Herpes_target
