IDa	IDb
Q92574	P82933
Q92574	P86452
Q92574	Q92574
Q92574	Q96ES7
Q92574	Q9HBH1
Q92574	Q9NRA8
Q92734	A4D104
Q92734	Q15811
Q92734	Q13772
Q92734	O94979
Q92734	E9PFU1
Q92734	Q9BY43
Q92734	Q93050
Q92734	Q92734
Q92734	H7C556
Q92734	Q96I15
Q92734	Q5JR59
Q92734	Q96GD4
Q92734	O43633
Q92734	O60287
Q92734	O60493
Q92734	O75947
Q92734	P04083
Q92734	P09496
Q92734	P11388
Q92734	P21281
Q92734	P36578
Q92734	P53990
Q92734	P54136
Q92734	P62906
Q92734	Q14254
Q92734	Q14677
Q92734	Q6KC79
Q92734	Q6NW34
Q92734	Q7LBR1
Q92734	Q8N531
Q92734	Q8NHP8
Q92734	Q8WV92
Q92734	Q8WYQ5
Q92734	Q969P6
Q92734	Q969X5
Q92734	Q99816
Q92734	Q9BVI0
Q92734	Q9H0A0
Q92734	Q9H444
Q92734	Q9H694
Q92734	Q9HD42
Q92734	Q9NZZ3
Q92734	Q9P2N7
Q92734	Q9P2X0
Q92734	Q9Y2P8
Q92734	Q9Y3E7
P08493	Q9UJF2
P08493	O95071
P08493	O43156
P08493	O43852
P08493	P08493
P08493	P14625
P08493	P38435
P08493	P52272
P08493	P55084
P08493	Q08380
P08493	Q13501
P08493	Q14697
P08493	Q15293
P08493	Q5T4S7
P08493	Q5W0B1
P08493	Q6P5Z2
P08493	Q8IWV7
P08493	Q9H583
Q7Z406	P30626
Q7Z406	Q9UNL2
Q7Z406	P28288
Q7Z406	O75694
Q7Z406	Q7Z406
Q7Z406	F5GX68
Q7Z406	Q13011
Q7Z406	Q96CN0
Q7Z406	Q9UQN3
Q7Z406	Q9Y6K0
P42229	Q9Y2K5
P42229	P42229
P42229	O00330
P42229	O43567
P42229	O95363
P42229	P08559
P42229	P10515
P42229	P11177
P42229	P78385
P42229	Q7Z2K6
P42229	Q8N0Z3
P42229	Q99988
P42229	Q9H0C8
P42229	Q9UEY8
P42229	Q9UMF0
A6NHR9	A6NHR9
A6NHR9	O43847
A6NHR9	O15047
A6NHR9	P49406
A6NHR9	P78385
A6NHR9	Q49A26
A6NHR9	Q9NR19
A6NHR9	Q8IY21
A6NHR9	Q969X5
A6NHR9	Q9H0U6
A6NHR9	Q9P2Y4
A6NHR9	Q9UJY1
A6NHR9	Q9UKT4
P23511	P09001
P23511	P25208
P23511	O15427
P23511	P17036
P23511	P23511
P23511	Q12872
P23511	Q13952
P23511	Q8WYQ5
P23511	Q96FZ2
P23511	Q9BWM7
P23511	Q9BXW6
P23511	Q9UHA2
P23511	Q9Y2L9
P23511	Q9Y6Y0
O95600	Q96HU1
O95600	O00499
O95600	O95600
O95600	Q8N3F8
O95600	Q8WYQ5
O95600	Q9H6X2
P17600	H0YBV7
P17600	Q9H0E3
P17600	P17600
P17600	Q13200
P17600	Q8IV48
P17600	Q8WUA4
P17600	Q8WYN0
P17600	Q8WYQ5
P17600	Q969X5
P17600	Q9H6X2
P17600	Q9P1Q0
Q04656	A6ZKI3
Q04656	Q92504
Q04656	P78346
Q04656	A0A499FIX8
Q04656	Q9GZT3
Q04656	Q96I15
Q04656	P18859
Q04656	O00255
Q04656	O15269
Q04656	O43324
Q04656	O75396
Q04656	P04844
Q04656	P20020
Q04656	P35613
Q04656	P51648
Q04656	P67870
Q04656	Q04656
Q04656	Q8N108
Q04656	Q8N357
Q04656	Q8NE86
Q04656	Q92973
Q04656	Q93008
Q04656	Q969M3
Q04656	Q96A33
Q04656	Q96T76
Q04656	Q99496
Q04656	Q9BWM7
Q04656	Q9Y5M8
Q13620	Q13098
Q13620	Q7L5N1
Q13620	Q9NZJ0
Q13620	Q8WV16
Q13620	O14618
Q13620	Q13620
Q13620	P38646
Q13620	P61201
Q13620	P62877
Q13620	Q13216
Q13620	Q16531
Q13620	Q53HL2
Q13620	Q5QP82
Q13620	Q6RI45
Q13620	Q86VP6
Q13620	Q8TEB1
Q13620	Q8WWQ0
Q13620	Q92466
Q13620	Q92905
Q13620	Q99627
Q13620	Q9BT78
Q13620	Q9BW61
Q13620	Q9NS87
Q13620	Q9UBW8
Q13620	Q9UNS2
Q13620	Q9Y4B6
Q93074	Q969T9
Q93074	O95905
Q93074	Q15528
Q93074	O75586
Q93074	Q9ULK4
Q93074	O00255
Q93074	O15234
Q93074	O15269
Q93074	O43513
Q93074	O60244
Q93074	O75448
Q93074	O75528
Q93074	P49336
Q93074	P60468
Q93074	Q13503
Q93074	Q15648
Q93074	Q53G59
Q93074	Q5RI15
Q93074	Q6P2C8
Q93074	Q71F56
Q93074	Q71SY5
Q93074	Q8N4S0
Q93074	Q8N6T7
Q93074	Q92804
Q93074	Q92830
Q93074	Q93074
Q93074	Q96G25
Q93074	Q96HR3
Q93074	Q96RN5
Q93074	Q9BRK4
Q93074	Q9BTT4
Q93074	Q9BUE0
Q93074	Q9BWU1
Q93074	Q9H944
Q93074	Q9NPJ6
Q93074	Q9NVC6
Q93074	Q9NWA0
Q93074	Q9NX70
Q93074	Q9P086
Q93074	Q9UHV7
Q93074	Q9Y2X0
Q93074	Q9Y3C7
O75665	E7ETA6
O75665	Q96KV7
O75665	Q6EMB2
O75665	Q96NB1
O75665	Q5T9S5
O75665	J3QT39
O75665	O00472
O75665	O75665
O75665	O95684
O75665	O95816
O75665	P13861
O75665	P55199
O75665	Q15154
O75665	Q1MSJ5
O75665	Q2KHM9
O75665	Q4AC94
O75665	Q5T0W9
O75665	Q7L590
O75665	Q5VT06
O75665	Q8IWE5
O75665	Q659A1
O75665	Q6ZU80
O75665	Q86SQ0
O75665	Q86T90
O75665	Q86YT6
O75665	Q8N0Z3
O75665	Q8WXW3
O75665	Q96DN5
O75665	Q96M89
O75665	Q96RK4
O75665	Q9BR77
O75665	Q9BVG8
O75665	Q9C0D2
O75665	Q9P209
O75665	Q9P2S5
O75665	Q9UPN4
O75665	Q9Y2D8
O75665	Q9Y2F5
O75665	Q9Y6R9
P25106	Q5U5R9
P25106	Q9BYD3
P25106	O75947
P25106	P06576
